Key,en,es,ar,fr
appLAddBranch,Add Branch,Agregar sucursal,إضافة فرع,Ajouter une succursale
appLActive,Active,Activo,نشيط,Actif
appLFreeze,Freeze,Congelar,تجميد,Geler
appLRefresh,Refresh,Refrescar,ينعش,Rafraîchir
appLOfferPrice,Offer Price,Precio de oferta,سعر العرض,Prix ​​de l'offre
appLPackageDescription,Package Description,Descripción del paquete,وصف الحزمة,Description du paquet
appLPleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل,Veuillez remplir le champ
appLNoBranchFound,No Branch Found,No se encontró ninguna sucursal,لم يتم العثور على فرع,Aucune succursale trouvée
appLDoYouWantToAddABranch,Do you want to add a branch?,¿Quieres agregar una sucursal?,هل تريد إضافة فرع؟,Voulez-vous ajouter une branche ?
appLNoDepartmentFound,No Department Found,No se encontró ningún departamento,لم يتم العثور على قسم,Aucun département trouvé
appLDoYouWantToAddADepartment,Do you want to add a department? ,¿Quieres agregar un departamento? ,هل تريد إضافة قسم؟ ,Voulez-vous ajouter un département? 
appLFrom,From,De,من,Depuis
appLSlotAvailable,slot(s) available,ranura(s) disponible(s),الفتحة (الفتحات) المتاحة,créneau(s) disponible(s)
appLViewAll,View All,Ver todo,عرض الكل,Tout afficher
appLLastName,Last Name,Apellido,اسم العائلة,Nom de famille
appLSearch,Search,Buscar,يبحث,Recherche
appLEditProfile,Edit Profile,Editar perfil,تحرير الملف الشخصي,Modifier le profil
apLmanageKyc2fa,"Manage Language preferences, Password reset here.","Administre las preferencias de idioma, restablezca la contraseña aquí.",إدارة تفضيلات اللغة، إعادة تعيين كلمة المرور هنا.,"Gérer les préférences de langue, réinitialiser le mot de passe ici."
appLLocation,Location,Ubicación,موقع,Emplacement
appLView,View,Vista,منظر,Voir
appLGetStarted,Get Started,Empezar,ابدأ,Commencer
appLTwoFaSecurity,2Fa Security,Seguridad 2Fa,2Fa الأمن,Sécurité 2Fa
appLNoBooking,No booking are currently available. Please make an appointment,Actualmente no hay reservas disponibles. Por favor haga una cita,لا يوجد حجز متاح حاليا. يرجى تحديد موعد,Aucune réservation n'est actuellement disponible. Merci de prendre rendez-vous
appLNoDoctorFound,No doctors are currently available. Please check back later,Actualmente no hay médicos disponibles. Por favor vuelve a consultar más tarde,لا يوجد أطباء متوفرين حاليا. يرجى التحقق مرة أخرى في وقت لاحق,Aucun médecin n'est actuellement disponible. Veuillez revenir plus tard
appLCopy,Copy,Copiar,ينسخ,Copie
appLCopiedToClipboard,Copied to clipboard,Copiado al portapapeles,تم النسخ إلى الحافظة,Copié dans le presse-papiers
appLNoFileSelected,No file selected,Ningún archivo seleccionado,لم يتم تحديد أي ملف,Aucun fichier sélectionné
appLBackToHome,Back to home,De vuelta a casa,العودة إلى المنزل,Retour à la maison
appLCurrencies,Currencies,Monedas,العملات,Devises
appLGateways,Gateways,Puertas de enlace,بوابات,Passerelles
appLRecommendedDoctor,Recommended Doctor,Médico recomendado,الموصى بها الطبيب,Médecin recommandé
appLDoctorList,Doctor List,Lista de médicos,قائمة الطبيب,Liste des médecins
appLFindADoctor,Find doctor,encontrar medico,ابحث عن طبيب,Trouver un médecin
appLRegisterForAnAccount,Register for an account,Regístrese para obtener una cuenta,سجل للحصول على حساب,Créer un compte
appLUpcomingAppointment,Upcoming Appointment,Próxima cita,الموعد القادم,Rendez-vous à venir
appLBranches,Branches,Sucursales,الفروع,Succursales
appLSearchForInvestigation,Search for investigation,Búsqueda de investigación,البحث عن التحقيق,Recherche d'enquête
appLSelectHospital,Select Hospital,Seleccione Hospital,اختر المستشفى,Sélectionnez un hôpital
appLMakeAppointment,Make Appointment,Hacer cita,تحديد موعد,Prendre rendez-vous
appLMakeSchedule,Make Schedule,Hacer horario,جعل الجدول الزمني,Faire un planning
appLAge,Age,Edad,عمر,Âge
appLYourMessage,Your Message,Tu mensaje,رسالتك,Votre message
appLSelectDate,Select Date,Seleccionar fecha,اختر التاريخ,Sélectionnez une date
appLProceedNow,Proceed Now,Continuar ahora,تابع الآن,Continuer maintenant
appLServiceAtYour,SERVICE AT YOUR DOORSTEP,SERVICIO A TU PUERTA,الخدمة على عتبة داركم,SERVICE À VOTRE PORTE
appLServiceAtYourDetails,"No more waiting rooms, no more long commutes, and no more hassle. With our service, you can now book a doctor appointment and have a qualified healthcare professional visit you at your preferred location and time.P","No más salas de espera, no más desplazamientos largos y no más molestias. Con nuestro servicio, ahora puede reservar una cita con el médico y que un profesional de la salud calificado lo visite en el lugar y horario que prefiera.P",لا مزيد من غرف الانتظار، ولا مزيد من التنقلات الطويلة، ولا مزيد من المتاعب. من خلال خدمتنا، يمكنك الآن حجز موعد مع الطبيب والحصول على زيارة من أخصائي رعاية صحية مؤهل في المكان والوقت المفضلين لديك,"Fini les salles d'attente, les longs trajets et les tracas. Grâce à notre service, vous pouvez désormais prendre rendez-vous chez le médecin et recevoir la visite d'un professionnel de la santé qualifié à l'endroit et à l'heure de votre choix.P"
appLWriteHere,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
appLSelectShift,Select Shift,Seleccionar turno,حدد التحول,Sélectionnez Maj
appLAppointment,Appointment,Cita,ميعاد,Rendez-vous
appLJoinAsDoctor,Join As Doctor,Únase como médico,انضم كطبيب,Rejoignez-nous en tant que médecin
appLJoinAsDoctorDetails,"Join our network to connect with patients, manage appointments, and share your expertise.","Únase a nuestra red para conectarse con pacientes, gestionar citas y compartir su experiencia.",انضم إلى شبكتنا للتواصل مع المرضى وإدارة المواعيد ومشاركة خبراتك.,"Rejoignez notre réseau pour vous connecter avec les patients, gérer les rendez-vous et partager votre expertise."
appLInvestigationDetails,Explore various diagnostic tests and services offered with transparent pricing,Explore diversas pruebas de diagnóstico y servicios ofrecidos con precios transparentes,استكشف الاختبارات والخدمات التشخيصية المتنوعة المقدمة بأسعار شفافة,Explorez divers tests et services de diagnostic proposés avec une tarification transparente
appLDoctorBookingDetails,Quickly book appointments with trusted and verified doctors for personalized care.,Reserve rápidamente citas con médicos confiables y verificados para recibir atención personalizada.,احجز المواعيد بسرعة مع الأطباء الموثوق بهم والمعتمدين للحصول على رعاية شخصية.,Prenez rapidement rendez-vous avec des médecins de confiance et vérifiés pour des soins personnalisés.
appLServiceBookingDetails,Conveniently schedule a wide range of medical services at your preferred time.,Programe cómodamente una amplia gama de servicios médicos en el horario que prefiera.,قم بجدولة مجموعة واسعة من الخدمات الطبية بسهولة في الوقت الذي تفضله.,Planifiez facilement une large gamme de services médicaux à l’heure que vous préférez.
appLBookings,Bookings,Reservas,الحجوزات,Réservations
appLDoctorBooking,Doctor Booking,Reserva de médico,حجز الطبيب,Médecin Réservation
appLServiceBooking,Service Booking,Reserva de servicio,حجز الخدمة,Réservation de services
appLApproved,Approved,Aprobado,موافقة,Approuvé
appLTime,Time,Tiempo,وقت,Temps
appLPaymentBy,Payment,Pago,قسط,Paiement
appLBy,By,Por,بواسطة,Par
appLCharge,Charge,Cargar,تكلفة,Charge
appLTotal,Total,Total,المجموع,Total
appLSchedule,Schedule,Cronograma,جدول,Calendrier
appLRecentBooking,Recent Booking,Reserva reciente,الحجز الأخير,Réservation récente
appLOverviewDetails,Overview Details,Detalles generales,تفاصيل نظرة عامة,Aperçu Détails
appLTotalTransactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Total des transactions
appLTotalOnlineTransactions,Total Online Transactions,Total de transacciones en línea,إجمالي المعاملات عبر الإنترنت,Total des transactions en ligne
appLTotalCashPayments,Total Cash Payments,Pagos totales en efectivo,إجمالي المدفوعات النقدية,Total des paiements en espèces
appLTotalTransactionsAmount,Total Transactions Amount,Monto total de transacciones,إجمالي مبلغ المعاملات,Montant total des transactions
appLMale,Male,Masculino,ذكر,Mâle
appLFemale,Female,Femenino,أنثى,Femelle
appLOther,Other,Otro,آخر,Autre
appLYear,Year,Año,سنة,Année
appLMonth,Month,Mes,شهر,Mois
appLDays,Days,Días,أيام,Jours
appLPreview,Preview,Avance,معاينة,Aperçu
appLPatientName,Patient Name,Nombre del paciente,اسم المريض,Nom du patient
appLPatientAge,Patient Age,Edad del paciente,عمر المريض,Âge des patients
appLPatientGender,Patient Gender,Género del paciente,جنس المريض,Sexe du patient
appLServices,Services,Servicios,خدمات,Services
appLMobile,Mobile,Móvil,متحرك,Mobile
appLSelectTime,Select Time,Seleccionar hora,حدد الوقت,Sélectionnez l'heure
appLSpecialty,Specialty,Especialidad,التخصص,Spécialité
appLDoctorFees,Doctor Fees,Honorarios médicos,رسوم الطبيب,Honoraires du médecin
appLFeesCharges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,Frais et charges
appLPayableAmount,Payable Amount,Monto a pagar,المبلغ المستحق,Montant à payer
appLCashPayment,Cash Payment,Pago al contado,الدفع النقدي,Paiement en espèces
appLOnlinePayment,Online Payment,Pago en línea,الدفع عبر الإنترنت,Paiement en ligne
appLPressBackAgain,Press back again to exit,Presione Atrás nuevamente para salir.,اضغط مرة أخرى للخروج,Appuyez à nouveau pour quitter
Front,Front,Frente,أمام,Devant
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
No Record Found!,No Record Found!,¡No se encontró ningún registro!,لم يتم العثور على سجل!,Aucun enregistrement trouvé !
Email,Email,Correo electrónico,بريد إلكتروني,E-mail
Doctor Name,Doctor Name,Nombre del médico,اسم الطبيب,Nom du médecin
Payment Method,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول,Entrez le prénom
Enter Last Name,Enter Last Name,Ingrese el apellido,أدخل الاسم الأخير,Entrez le nom de famille
Select Country,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays
First Name,First Name,Nombre de pila,الاسم الأول,Prénom
last Name,last Name,apellido,اسم العائلة,nom de famille
zip_code,zip_code,código postal,الرمز البريدي,code postal
enter Zip Code,enter Zip Code,ingrese el código postal,أدخل الرمز البريدي,entrez le code postal
address,address,DIRECCIÓN,عنوان,adresse
enter Address,enter Address,ingrese la dirección,أدخل العنوان,entrez l'adresse
Attachments (Optional),Attachments (Optional),Archivos adjuntos (opcional),المرفقات (اختياري),Pièces jointes (facultatif)
Write Here,Write Here,Escribe aquí,اكتب هنا,Écrivez ici
Need Help,Need Help,Necesitar ayuda,بحاجة الى مساعدة,Besoin d'aide
Schedule,Schedule,Cronograma,جدول,Calendrier
Doctor Name,Doctor Name,Nombre del médico,اسم الطبيب,Nom du médecin
Ex: Booking Id/ Payment Type,Ex: Booking Id/ Payment Type,Ej: ID de reserva/tipo de pago,على سبيل المثال: معرف الحجز/نوع الدفع,Ex : identifiant de réservation/type de paiement
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة,Messages récents
Our Location,Our Location,Nuestra Ubicación,موقعنا,Notre emplacement
Call us on,Call us on,Llámanos al,اتصل بنا على,Appelez-nous au
Our office hours,Our office hours,Nuestro horario de oficina,ساعات العمل لدينا,Nos horaires de bureau
Email us directly,Email us directly,Envíenos un correo electrónico directamente,راسلنا عبر البريد الإلكتروني مباشرة,Envoyez-nous un email directement
Send Message,Send Message,Enviar mensaje,أرسل رسالة,Envoyer un message
Blog Details,Blog Details,Detalles del blog,تفاصيل المدونة,Détails du blog
"Please check our docs
","Please check our docs
","Por favor consulte nuestros documentos
","يرجى التحقق من مستنداتنا
","Veuillez consulter nos documents
"
appLEdit,Edit,Editar,يحرر,Modifier
appLMoneyLogs,Money logs,Registros de dinero,سجلات المال,Journaux d'argent
appLProfile,Profile,Perfil,حساب تعريفي,Profil
appLenable2faTo,Enable2FAto add an extra layer of security to your account.,Habilite 2FA para agregar una capa adicional de seguridad a su cuenta.,Enable2FA لإضافة طبقة إضافية من الأمان إلى حسابك.,Activez 2FA pour ajouter une couche de sécurité supplémentaire à votre compte.
